BatchID,ProductName,Stage,InputWeight_kg,OutputWeight_kg,Duration_hr,RoomTemp_C,Humidity_%,Operator,MachineID,DeviationType,Date,Remarks
4010,Omeprazole 20mg,Granulation,130.1,126.9,3.6,22.7,41,Isaac,CT-02,None,9/10/2025,Minor loss
4010,Omeprazole 20mg,Compression,130.7,129,3.5,25.9,,Bob,CT-04,Spillage,9/16/2025,Normal run
4010,Omeprazole 20mg,Coating,136.7,135.2,3.3,23.4,41,David,CT-01,None,9/2/2025,Humidity issue
4011,Amoxicillin 250mg,Granulation,116.8,115.9,3,23.2,,Grace,CT-02,Peeling,9/29/2025,Minor loss
4011,Amoxicillin 250mg,Compression,196.4,191.6,4.3,24.2,49,Alice,CT-01,Weight variation,9/8/2025,Deviated yield
4011,Amoxicillin 250mg,Coating,135.9,134.4,4.5,22.5,47,Eve,C-02,Capping,9/15/2025,Within spec
4012,Vitamin C 100mg,Granulation,191,184.4,3.2,25.1,40,Isaac,C-01,Weight variation,9/27/2025,Normal run
4012,Vitamin C 100mg,Compression,156.3,153.6,3.5,23.8,,Eve,G-01,None,9/30/2025,Deviated yield
4012,Vitamin C 100mg,Coating,184.7,181.8,4.8,23.2,50,Frank,C-02,Capping,10/1/2025,Minor loss
4013,Paracetamol 500mg,Granulation,189,185.8,5.5,23.2,,Bob,CT-03,Uneven coating,9/12/2025,Normal run
4013,Paracetamol 500mg,Compression,182.7,176.9,4.1,25.7,50,Henry,CT-03,Spillage,9/25/2025,Rework required
4013,Paracetamol 500mg,Coating,153.7,150.6,3.7,25.8,,Bob,CT-01,None,9/10/2025,Rework required
4014,Metformin 500mg,Granulation,193.9,189.8,4.1,22.3,,Isaac,CT-03,Uneven coating,9/26/2025,Humidity issue
4014,Metformin 500mg,Compression,180.2,174.6,5.4,23,,Grace,CT-04,Peeling,9/7/2025,Minor loss
4014,Metformin 500mg,Coating,147.1,142.2,4.8,25.9,49,Henry,CT-03,Spillage,9/15/2025,Within spec
4015,Ibuprofen 200mg,Granulation,166.1,161.8,3.2,22.3,51,Alice,C-03,Capping,9/21/2025,Humidity issue
4015,Ibuprofen 200mg,Compression,192,187.4,5.4,23.9,42,Charlie,CT-03,None,9/5/2025,Deviated yield
4015,Ibuprofen 200mg,Coating,113.8,113.1,4.4,22.3,,Grace,CT-04,None,9/25/2025,Rework required
4016,Paracetamol 500mg,Granulation,155.7,154.7,5.2,24.6,,Bob,CT-02,Peeling,9/7/2025,Slight delay
4016,Paracetamol 500mg,Compression,114.9,111.7,5.3,25.2,50,Isaac,C-03,None,9/15/2025,Slight delay
4016,Paracetamol 500mg,Coating,154.8,150.8,4.5,24.5,45,Alice,G-03,Weight variation,9/17/2025,Slight delay
4017,Vitamin C 100mg,Granulation,190.2,186.7,4.6,25.7,,David,C-02,Uneven coating,9/1/2025,Within spec
4017,Vitamin C 100mg,Compression,129.1,127.5,3.3,25,,Bob,G-03,Capping,9/15/2025,Normal run
4017,Vitamin C 100mg,Coating,169.6,165.1,3.4,24,49,Isaac,C-02,Peeling,10/1/2025,Minor loss
4018,Cetirizine 10mg,Granulation,183,179.2,3.4,25.7,,Bob,C-03,Spillage,9/30/2025,Minor loss
4018,Cetirizine 10mg,Compression,180.1,175.1,3.2,22.9,,Alice,CT-02,Weight variation,9/25/2025,Within spec
4018,Cetirizine 10mg,Coating,116.8,115.8,4,23.4,50,Grace,CT-02,Uneven coating,9/17/2025,Within spec
4019,Omeprazole 20mg,Granulation,117.2,116.1,3.1,25.2,55,Alice,C-03,Weight variation,9/10/2025,Deviated yield
4019,Omeprazole 20mg,Compression,189.8,186.4,4.5,24.1,43,Isaac,CT-04,Uneven coating,9/6/2025,Humidity issue
4019,Omeprazole 20mg,Coating,195.6,190.4,3.9,23.8,,Eve,CT-01,Weight variation,9/7/2025,Minor loss
4020,Metformin 500mg,Granulation,121.4,118.8,3.9,22.6,50,Henry,CT-04,Spillage,9/21/2025,Rework required
4020,Metformin 500mg,Compression,194,189.7,4.7,24.4,45,Charlie,CT-04,Peeling,10/1/2025,Minor loss
4020,Metformin 500mg,Coating,163.1,161.6,4.1,24.6,49,Bob,G-03,None,9/8/2025,Within spec
4021,Amoxicillin 250mg,Granulation,117.9,115.2,4.3,22.7,50,Grace,G-03,Peeling,9/8/2025,Normal run
4021,Amoxicillin 250mg,Compression,150.5,147.2,4.8,22.6,48,Charlie,G-02,Weight variation,9/7/2025,Minor loss
4021,Amoxicillin 250mg,Coating,166.4,161.5,3.4,23,,David,C-03,None,9/21/2025,Humidity issue
4022,Paracetamol 500mg,Granulation,121.5,118.6,3,26,,David,CT-04,Peeling,9/27/2025,Minor loss
4022,Paracetamol 500mg,Compression,197.3,192.1,4.9,22.5,55,Frank,CT-02,None,9/13/2025,Slight delay
4022,Paracetamol 500mg,Coating,135.5,131.6,4.3,23.2,,Frank,CT-04,Weight variation,9/13/2025,Minor loss
4023,Metformin 500mg,Granulation,128,125.5,4,24.9,,David,CT-01,Peeling,9/30/2025,Normal run
4023,Metformin 500mg,Compression,163.7,162.8,4.2,22.1,45,David,CT-01,Peeling,9/12/2025,Humidity issue
4023,Metformin 500mg,Coating,180.7,174.8,3.3,24.3,48,Grace,CT-04,Sticking,9/30/2025,Rework required
4024,Vitamin C 100mg,Granulation,166.3,165.3,5,23.5,,Isaac,C-01,Peeling,9/26/2025,Within spec
4024,Vitamin C 100mg,Compression,192.1,186.8,3.7,25.3,51,Frank,C-01,Capping,9/20/2025,Minor loss
4024,Vitamin C 100mg,Coating,184.4,179.9,4.3,23.2,,Isaac,C-01,Uneven coating,9/24/2025,Humidity issue
4025,Ibuprofen 200mg,Granulation,158.9,156.3,3.4,25.3,,Henry,G-02,Weight variation,9/23/2025,Within spec
4025,Ibuprofen 200mg,Compression,179.1,174,4.3,24.9,47,Alice,G-01,Peeling,9/4/2025,Slight delay
4025,Ibuprofen 200mg,Coating,137,134.3,3.2,24.8,44,Alice,CT-03,None,9/3/2025,Within spec
4026,Cetirizine 10mg,Granulation,192,189.8,3.5,24.3,45,Isaac,CT-01,Weight variation,9/13/2025,Minor loss
4026,Cetirizine 10mg,Compression,110.7,108,3.1,25,45,Frank,G-02,None,9/22/2025,Deviated yield
4026,Cetirizine 10mg,Coating,188.5,184,4.6,24.7,43,Frank,CT-04,Uneven coating,9/6/2025,Within spec
4027,Omeprazole 20mg,Granulation,121.8,119.7,4.1,23.5,,Grace,C-03,Weight variation,9/27/2025,Humidity issue
4027,Omeprazole 20mg,Compression,167.7,164.6,5.4,23.7,,Grace,G-01,Spillage,9/4/2025,Rework required
4027,Omeprazole 20mg,Coating,145.8,143.4,4.6,24,46,Frank,C-01,Weight variation,9/23/2025,Minor loss
4028,Amoxicillin 250mg,Granulation,137.8,133.9,3.9,25.6,48,Isaac,CT-01,Peeling,9/28/2025,Humidity issue
4028,Amoxicillin 250mg,Compression,133,130.8,3.3,22.3,,Henry,C-01,Peeling,9/23/2025,Humidity issue
4028,Amoxicillin 250mg,Coating,118.1,115.5,4.8,23.5,46,Grace,CT-01,None,9/3/2025,Rework required
4029,Vitamin C 100mg,Granulation,145.8,144.6,4.1,22.2,,Alice,C-01,Sticking,9/18/2025,Slight delay
4029,Vitamin C 100mg,Compression,111.1,109.7,3.1,25.6,44,Alice,C-02,Capping,9/22/2025,Deviated yield
4029,Vitamin C 100mg,Coating,192.9,186.8,5.2,23.8,41,Frank,C-03,Peeling,9/2/2025,Normal run
4030,Amoxicillin 250mg,Granulation,194.1,187.5,3.6,24.2,49,Henry,G-01,Sticking,9/17/2025,Within spec
4030,Amoxicillin 250mg,Compression,185.2,180.5,3.7,23.4,43,Grace,CT-03,Spillage,9/9/2025,Humidity issue
4030,Amoxicillin 250mg,Coating,189,183,4.7,23.9,,Grace,C-03,Weight variation,9/12/2025,Slight delay
4031,Cetirizine 10mg,Granulation,185.2,183.5,5.3,22.2,,Alice,CT-04,Uneven coating,9/10/2025,Deviated yield
4031,Cetirizine 10mg,Compression,110.8,110.1,4.7,24.1,47,Alice,G-02,Spillage,9/14/2025,Deviated yield
4031,Cetirizine 10mg,Coating,155.1,150.4,4,24.8,,Grace,G-03,None,9/11/2025,Minor loss
4032,Ibuprofen 200mg,Granulation,192,189,5.2,25,49,Alice,C-01,Sticking,9/23/2025,Normal run
4032,Ibuprofen 200mg,Compression,131.4,127.7,3.8,23.5,52,Charlie,G-02,Spillage,9/27/2025,Humidity issue
4032,Ibuprofen 200mg,Coating,128.3,124.6,3.8,22.8,,Frank,G-01,Uneven coating,9/12/2025,Rework required
4033,Paracetamol 500mg,Granulation,164.7,159.3,4.2,22.9,44,Frank,CT-02,Sticking,9/10/2025,Minor loss
4033,Paracetamol 500mg,Compression,121.3,117.1,5.4,24.2,45,Grace,C-02,Weight variation,9/16/2025,Humidity issue
4033,Paracetamol 500mg,Coating,194.4,190.5,4.3,25.6,,Charlie,C-01,Sticking,9/12/2025,Deviated yield
4034,Omeprazole 20mg,Granulation,178.6,176.7,3.1,25.8,41,Bob,CT-01,Capping,9/2/2025,Deviated yield
4034,Omeprazole 20mg,Compression,122.5,119.3,4.7,23.3,,David,C-03,Spillage,9/10/2025,Slight delay
4034,Omeprazole 20mg,Coating,179.7,175.9,4,24,40,Bob,C-02,Capping,9/29/2025,Minor loss
4035,Metformin 500mg,Granulation,143.5,140.4,3,23.2,44,Bob,C-01,Sticking,9/10/2025,Minor loss
4035,Metformin 500mg,Compression,156.1,152.2,4.6,25.7,41,David,C-01,Sticking,9/18/2025,Normal run
4035,Metformin 500mg,Coating,120.8,116.7,3.3,24.1,,David,C-03,Uneven coating,9/12/2025,Rework required
4036,Paracetamol 500mg,Granulation,170.2,167.9,3.4,23.8,49,Grace,G-03,Spillage,9/8/2025,Humidity issue
4036,Paracetamol 500mg,Compression,199.2,195.6,4.3,23.8,53,Charlie,C-03,None,9/11/2025,Deviated yield
4036,Paracetamol 500mg,Coating,156.8,155.8,3.8,23.8,,Bob,C-02,Capping,9/7/2025,Slight delay
4037,Cetirizine 10mg,Granulation,191.3,185.7,4.7,24.1,,Eve,C-03,None,9/1/2025,Slight delay
4037,Cetirizine 10mg,Compression,134,132,4,25.6,,Charlie,G-02,Weight variation,9/12/2025,Deviated yield
4037,Cetirizine 10mg,Coating,123.2,120,3,25.2,41,Grace,CT-01,Sticking,9/18/2025,Minor loss
4038,Vitamin C 100mg,Granulation,129.9,126.9,5.3,23.4,52,Frank,C-02,Spillage,9/15/2025,Rework required
4038,Vitamin C 100mg,Compression,129.6,127.2,4.1,25.2,54,Alice,CT-04,None,9/27/2025,Humidity issue
4038,Vitamin C 100mg,Coating,110.2,107.7,5.1,22.3,44,Grace,G-01,None,9/15/2025,Minor loss
4039,Amoxicillin 250mg,Granulation,154.2,152.6,4.3,25.7,49,Charlie,CT-04,Peeling,9/11/2025,Normal run
4039,Amoxicillin 250mg,Compression,177.7,175.9,4.1,23.5,,Bob,G-02,Peeling,9/3/2025,Minor loss
4039,Amoxicillin 250mg,Coating,140.2,138.5,4.2,22.3,48,David,CT-01,Capping,9/3/2025,Minor loss
4040,Omeprazole 20mg,Granulation,121.6,119.9,4.4,23.4,47,Alice,C-03,Spillage,10/1/2025,Slight delay
4040,Omeprazole 20mg,Compression,164.4,163.2,5.3,23.7,49,Grace,CT-04,Capping,9/21/2025,Rework required
4040,Omeprazole 20mg,Coating,176.6,171.9,3.3,22.3,,Isaac,CT-03,Uneven coating,9/13/2025,Normal run
4041,Metformin 500mg,Granulation,187.4,184.3,3.1,25,,Bob,C-03,Spillage,9/19/2025,Slight delay
4041,Metformin 500mg,Compression,110.6,108.8,4.8,24.3,47,Alice,CT-03,Peeling,9/23/2025,Rework required
4041,Metformin 500mg,Coating,169.6,166.2,3.5,22.8,40,Charlie,G-02,Spillage,9/1/2025,Humidity issue
4042,Ibuprofen 200mg,Granulation,147.9,146.5,4.5,22.1,,Alice,G-03,Capping,9/5/2025,Normal run
4042,Ibuprofen 200mg,Compression,186.3,181.5,4.4,23.6,44,David,CT-01,Capping,9/21/2025,Deviated yield
4042,Ibuprofen 200mg,Coating,175.6,170.2,4.4,24.3,,Frank,CT-02,None,9/14/2025,Rework required
4043,Ibuprofen 200mg,Granulation,123.4,120.1,4.6,25.2,,Bob,G-01,Sticking,9/5/2025,Normal run
4043,Ibuprofen 200mg,Compression,121.1,117,4.2,25.3,54,Alice,CT-02,Weight variation,9/15/2025,Deviated yield
4043,Ibuprofen 200mg,Coating,157.1,153.2,5,24.1,46,Alice,CT-02,Spillage,9/4/2025,Minor loss
4044,Amoxicillin 250mg,Granulation,130.5,128.1,3.9,23.4,52,Isaac,G-02,Uneven coating,9/27/2025,Minor loss
4044,Amoxicillin 250mg,Compression,149,147.3,3.8,24.8,40,Bob,C-02,Uneven coating,9/17/2025,Slight delay
4044,Amoxicillin 250mg,Coating,170.3,165.8,5,25.7,42,Charlie,CT-03,Weight variation,9/28/2025,Normal run
4045,Metformin 500mg,Granulation,151.6,149.7,3.6,22.4,43,Henry,C-02,Weight variation,9/20/2025,Humidity issue
4045,Metformin 500mg,Compression,179.6,174.4,4.3,24.8,,Bob,G-02,Uneven coating,9/24/2025,Minor loss
4045,Metformin 500mg,Coating,193.8,188,3.3,22.9,53,Frank,C-03,Sticking,9/20/2025,Humidity issue
4046,Vitamin C 100mg,Granulation,157.6,154,4.8,24.7,51,David,G-02,Spillage,9/13/2025,Deviated yield
4046,Vitamin C 100mg,Compression,123.8,121.4,3,23.8,45,Charlie,C-03,None,9/17/2025,Deviated yield
4046,Vitamin C 100mg,Coating,129,127.5,5.4,22.3,,Charlie,CT-04,Peeling,9/23/2025,Humidity issue
4047,Paracetamol 500mg,Granulation,139.9,135.3,4.2,24.7,,Alice,C-03,Peeling,9/9/2025,Deviated yield
4047,Paracetamol 500mg,Compression,144.8,141.1,4.2,23.1,54,David,G-03,Sticking,9/3/2025,Normal run
4047,Paracetamol 500mg,Coating,156.2,155.3,4.2,24.1,48,Henry,CT-03,None,9/25/2025,Normal run
4048,Cetirizine 10mg,Granulation,187.6,182.7,3.8,24.2,,Grace,C-01,Uneven coating,9/7/2025,Humidity issue
4048,Cetirizine 10mg,Compression,176.5,172.2,3.2,23.7,48,David,G-01,Uneven coating,9/8/2025,Deviated yield
4048,Cetirizine 10mg,Coating,182.2,180.4,5.1,23.7,,Bob,CT-02,Uneven coating,9/7/2025,Rework required
4049,Omeprazole 20mg,Granulation,130.1,126.7,3.9,25.4,55,Frank,CT-04,Capping,9/30/2025,Within spec
4049,Omeprazole 20mg,Compression,115.4,111.8,3.1,23.9,,Eve,C-03,Uneven coating,9/28/2025,Slight delay
4049,Omeprazole 20mg,Coating,182.6,178.6,4.2,22.4,,David,G-03,None,9/22/2025,Rework required
4050,Cetirizine 10mg,Granulation,135.2,132.7,3.1,25.2,,Alice,CT-03,Spillage,9/3/2025,Humidity issue
4050,Cetirizine 10mg,Compression,114.1,111.8,4.5,25.4,50,Isaac,CT-03,Capping,9/4/2025,Within spec
4050,Cetirizine 10mg,Coating,178.1,174,5.1,24.3,,Frank,CT-03,Sticking,9/20/2025,Rework required
4051,Paracetamol 500mg,Granulation,166.4,161.1,4,24.7,55,Frank,CT-02,Capping,9/27/2025,Deviated yield
4051,Paracetamol 500mg,Compression,164.2,161.4,4.7,24.9,45,Eve,G-02,Peeling,9/15/2025,Humidity issue
4051,Paracetamol 500mg,Coating,152,151.1,3.5,24.6,,Frank,C-01,Spillage,9/25/2025,Humidity issue
4052,Amoxicillin 250mg,Granulation,149.8,148.9,3.5,25.8,55,Charlie,C-03,Uneven coating,9/21/2025,Within spec
4052,Amoxicillin 250mg,Compression,155.1,151.5,4.7,23.3,48,Bob,G-01,Capping,9/21/2025,Normal run
4052,Amoxicillin 250mg,Coating,138.7,136,3.2,23.5,,Alice,C-01,Weight variation,9/18/2025,Slight delay
4053,Omeprazole 20mg,Granulation,140.8,139.6,4.2,23.4,,Charlie,C-02,None,9/29/2025,Humidity issue
4053,Omeprazole 20mg,Compression,136.9,134.6,3.7,25.9,,Isaac,CT-01,Sticking,9/8/2025,Slight delay
4053,Omeprazole 20mg,Coating,174.4,168.4,3.5,25.3,,Charlie,C-01,Capping,9/21/2025,Slight delay
4054,Metformin 500mg,Granulation,132.2,127.7,4.5,25,48,Charlie,CT-01,Sticking,9/6/2025,Slight delay
4054,Metformin 500mg,Compression,189.2,186.6,4.8,22.3,51,Eve,CT-02,Weight variation,9/15/2025,Rework required
4054,Metformin 500mg,Coating,170.4,169.2,5.2,23.4,,Alice,CT-03,Spillage,9/9/2025,Deviated yield
4055,Ibuprofen 200mg,Granulation,148,143.6,5,24.3,,Henry,G-03,Capping,9/11/2025,Deviated yield
4055,Ibuprofen 200mg,Compression,175,172.1,4.5,25.6,42,Eve,G-01,Sticking,9/26/2025,Normal run
4055,Ibuprofen 200mg,Coating,135.7,133.9,3.5,25.7,44,David,CT-03,None,9/21/2025,Within spec
4056,Vitamin C 100mg,Granulation,132.2,129.2,3.2,24.8,52,Henry,C-03,Spillage,9/28/2025,Minor loss
4056,Vitamin C 100mg,Compression,181.5,175.5,5.1,23.5,41,Frank,CT-01,Capping,9/14/2025,Deviated yield
4056,Vitamin C 100mg,Coating,137.2,133.2,3.4,22.5,49,Grace,G-02,Capping,9/23/2025,Deviated yield
4057,Ibuprofen 200mg,Granulation,114.9,111.3,4.3,23.3,49,Charlie,CT-01,Capping,9/5/2025,Slight delay
4057,Ibuprofen 200mg,Compression,117.5,116.1,4.1,23.7,42,Frank,CT-02,Sticking,9/3/2025,Slight delay
4057,Ibuprofen 200mg,Coating,151.4,147.7,4.6,25.8,,Isaac,CT-01,None,9/25/2025,Slight delay
4058,Metformin 500mg,Granulation,137.9,136.1,4.6,25.4,,David,C-02,Sticking,9/28/2025,Deviated yield
4058,Metformin 500mg,Compression,119.1,114.9,4.5,23.7,,Grace,CT-04,Sticking,9/27/2025,Normal run
4058,Metformin 500mg,Coating,164.3,159.4,5,26,,Grace,C-03,Capping,9/4/2025,Rework required
4059,Cetirizine 10mg,Granulation,138,136,4.5,25.6,44,Bob,C-03,Sticking,9/18/2025,Minor loss
4059,Cetirizine 10mg,Compression,169.4,166.5,4.3,24.2,,Frank,G-01,Sticking,9/12/2025,Slight delay
4059,Cetirizine 10mg,Coating,158.5,154.5,5.1,22.4,47,David,CT-01,Uneven coating,9/21/2025,Rework required
4060,Vitamin C 100mg,Granulation,191.1,189.1,3.3,25.2,,Frank,C-01,Weight variation,9/15/2025,Rework required
4060,Vitamin C 100mg,Compression,129.6,128.2,5.2,23.4,40,David,CT-03,Spillage,9/1/2025,Within spec
4060,Vitamin C 100mg,Coating,149.2,145.8,4.1,23.9,,Henry,C-02,Capping,9/23/2025,Humidity issue
4061,Paracetamol 500mg,Granulation,161.8,157,4,25.2,,Alice,CT-04,Sticking,9/2/2025,Humidity issue
4061,Paracetamol 500mg,Compression,135.8,135,3.1,23.3,,Frank,C-02,Uneven coating,9/21/2025,Deviated yield
4061,Paracetamol 500mg,Coating,200,195.1,5,22.7,55,Eve,CT-02,Spillage,9/18/2025,Normal run
4062,Omeprazole 20mg,Granulation,181.3,177,3,23.8,,Isaac,C-01,Sticking,10/1/2025,Deviated yield
4062,Omeprazole 20mg,Compression,124.5,122.7,5.1,24,,David,G-02,None,9/4/2025,Normal run
4062,Omeprazole 20mg,Coating,146,144.4,5.2,24.6,43,Isaac,C-01,Peeling,9/27/2025,Humidity issue
4063,Amoxicillin 250mg,Granulation,140.7,136.3,5.4,22.7,,Frank,C-03,None,9/8/2025,Humidity issue
4063,Amoxicillin 250mg,Compression,161.8,158,5.3,25.9,40,Grace,CT-02,None,9/13/2025,Rework required
4063,Amoxicillin 250mg,Coating,111.9,108.2,3.9,24.6,51,Eve,C-03,Peeling,9/13/2025,Humidity issue
4064,Vitamin C 100mg,Granulation,165,161.9,3.7,24.1,41,Charlie,CT-01,Peeling,9/4/2025,Normal run
4064,Vitamin C 100mg,Compression,154.1,150.9,5,24.4,,David,C-02,Weight variation,9/19/2025,Rework required
4064,Vitamin C 100mg,Coating,152.2,148.4,4.8,23.7,,Eve,CT-03,Peeling,9/30/2025,Slight delay
4065,Amoxicillin 250mg,Granulation,198.2,194,4.9,25.2,,Isaac,C-03,Uneven coating,9/25/2025,Deviated yield
4065,Amoxicillin 250mg,Compression,169.6,165.8,4.2,24.3,,Eve,G-03,Capping,9/3/2025,Rework required
4065,Amoxicillin 250mg,Coating,179.5,177,3.7,22.2,,Eve,CT-02,Sticking,9/9/2025,Humidity issue
4066,Paracetamol 500mg,Granulation,110.2,107.2,4.8,23.4,,Alice,C-03,Uneven coating,9/3/2025,Normal run
4066,Paracetamol 500mg,Compression,148.3,146.3,4.5,22.4,51,Alice,C-01,Sticking,9/15/2025,Minor loss
4066,Paracetamol 500mg,Coating,165.3,160.6,3.5,25.9,40,David,C-03,None,10/1/2025,Deviated yield
4067,Metformin 500mg,Granulation,173.8,167.8,4.2,23.2,48,Alice,C-03,Peeling,9/8/2025,Slight delay
4067,Metformin 500mg,Compression,175.1,169.7,4.5,24.4,50,Eve,C-01,Weight variation,9/5/2025,Rework required
4067,Metformin 500mg,Coating,149.6,144.6,4.7,23.9,,Alice,CT-01,None,9/8/2025,Rework required
4068,Omeprazole 20mg,Granulation,163.3,157.9,5,22.3,53,Bob,G-01,Capping,9/17/2025,Humidity issue
4068,Omeprazole 20mg,Compression,154.6,152.9,5.2,23.9,48,Henry,G-01,None,9/26/2025,Humidity issue
4068,Omeprazole 20mg,Coating,128.8,126.2,3.4,22.1,55,Frank,CT-04,Weight variation,10/1/2025,Humidity issue
4069,Cetirizine 10mg,Granulation,116.6,112.9,3.9,23.1,,Charlie,CT-03,Capping,9/29/2025,Rework required
4069,Cetirizine 10mg,Compression,160.8,155.7,4.6,25.6,55,Alice,CT-02,Weight variation,9/22/2025,Within spec
4069,Cetirizine 10mg,Coating,156.4,151.6,3.8,22.7,,Charlie,G-01,Weight variation,10/1/2025,Deviated yield
4070,Ibuprofen 200mg,Granulation,184.2,178.6,3.7,23.2,,Charlie,G-01,Weight variation,9/9/2025,Humidity issue
4070,Ibuprofen 200mg,Compression,181.4,179.2,4.8,23.9,46,Isaac,G-02,Uneven coating,10/1/2025,Rework required
4070,Ibuprofen 200mg,Coating,191.4,187.3,4.6,25.3,,Eve,CT-01,Sticking,9/23/2025,Humidity issue
4071,Vitamin C 100mg,Granulation,156.4,154.2,3.3,22.2,45,Alice,C-03,Peeling,9/17/2025,Minor loss
4071,Vitamin C 100mg,Compression,140.7,137.9,4.7,26,,Bob,CT-01,Peeling,9/15/2025,Minor loss
4071,Vitamin C 100mg,Coating,131.4,128.2,3.8,22.4,53,David,C-03,Uneven coating,9/6/2025,Humidity issue
4072,Metformin 500mg,Granulation,141,137.4,3.6,24.1,47,Grace,CT-02,Capping,9/4/2025,Rework required
4072,Metformin 500mg,Compression,184.3,182.2,3.5,24,55,Bob,G-03,Peeling,9/6/2025,Minor loss
4072,Metformin 500mg,Coating,144.2,142,5.5,22.6,53,Frank,G-02,Uneven coating,9/14/2025,Normal run
4073,Omeprazole 20mg,Granulation,181.2,179,5.3,24.3,47,Grace,G-01,None,10/1/2025,Slight delay
4073,Omeprazole 20mg,Compression,133.2,128.6,3.1,25,,Frank,C-03,Capping,9/29/2025,Deviated yield
4073,Omeprazole 20mg,Coating,132.7,131.8,3.5,24.1,47,Henry,G-02,Capping,9/3/2025,Within spec
4074,Cetirizine 10mg,Granulation,192.6,188.1,3.5,25.5,42,Alice,CT-01,Uneven coating,9/30/2025,Slight delay
4074,Cetirizine 10mg,Compression,134.7,132.1,5.4,24,,David,C-03,Spillage,9/17/2025,Humidity issue
4074,Cetirizine 10mg,Coating,129.6,128,3.9,23.3,,David,CT-04,Weight variation,9/10/2025,Minor loss
4075,Ibuprofen 200mg,Granulation,154.9,154.1,4.3,23.6,,Eve,CT-02,Peeling,9/16/2025,Deviated yield
4075,Ibuprofen 200mg,Compression,178.5,176.7,4.4,25.2,,Bob,C-01,Weight variation,9/14/2025,Rework required
4075,Ibuprofen 200mg,Coating,123.2,119.6,4.4,24.2,,Bob,C-01,None,9/18/2025,Slight delay
4076,Amoxicillin 250mg,Granulation,196,189.4,3.9,22.2,55,Grace,CT-02,Spillage,9/28/2025,Deviated yield
